Year,Project Code,Trip No,Location Code,Location,Pot No,Depth Fathoms,Pot Condition,Specimen No,Number Of Specimens,Recruit Status,Species Code,Sex Code,Width Millimeters,Shell Condition Code,Egg Percent,Egg Development Code,Egg Condition Code,Parasite,Parasite Code,Pot Comment
2019,7,1,1,Barlow Cove,2,26,Normal,18,5,Mature_Female,931,2,87,5,0,3,4,,,
2019,7,1,1,Barlow Cove,2,26,Normal,19,5,Mature_Female,931,2,93,5,90,1,1,,,
2019,7,1,1,Barlow Cove,2,26,Normal,20,5,Mature_Female,931,2,104,4,90,1,1,,,
2019,7,1,1,Barlow Cove,2,26,Normal,21,5,Mature_Female,931,2,98,4,10,1,1,,,
2019,7,1,1,Barlow Cove,3,36,Normal,25,1,Recruit,931,1,157,3,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,26,1,Recruit,931,1,155,3,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,27,1,Recruit,931,1,138,3,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,28,1,Post_Recruit,931,1,142,4,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,29,1,Recruit,931,1,151,3,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,30,1,Pre_Recruit,931,1,136,5,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,31,1,Pre_Recruit,931,1,126,5,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,32,1,Pre_Recruit,931,1,115,4,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,33,1,Pre_Recruit,931,1,113,4,,,,,,
2019,7,1,1,Barlow Cove,3,36,Normal,34,10,Mature_Female,931,2,90,4,70,1,1,,,
2019,7,1,1,Barlow Cove,3,36,Normal,35,10,Mature_Female,931,2,93,5,30,1,1,,,
2019,7,1,1,Barlow Cove,3,36,Normal,36,10,Mature_Female,931,2,86,5,60,1,1,,,
2019,7,1,1,Barlow Cove,3,36,Normal,37,1,Mature_Female,931,2,97,5,80,1,1,,,
2019,7,1,1,Barlow Cove,3,36,Normal,38,1,Mature_Female,931,2,107,3,80,1,1,Bitter crab,6,
2019,7,1,1,Barlow Cove,4,37,Normal,13,1,Post_Recruit,931,1,153,4,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,14,1,Recruit,931,1,146,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,4,37,Normal,15,1,Recruit,931,1,146,3,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,16,1,Post_Recruit,931,1,140,4,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,17,1,Recruit,931,1,148,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,4,37,Normal,18,1,Pre_Recruit,931,1,137,3,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,19,1,Juvenile,931,1,106,3,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,20,1,Recruit,931,1,145,3,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,21,1,Pre_Recruit,931,1,125,3,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,22,1,Pre_Recruit,931,1,137,5,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,23,1,Recruit,931,1,148,3,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,24,1,Pre_Recruit,931,1,112,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,4,37,Normal,25,1,Juvenile,931,1,107,3,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,26,1,Pre_Recruit,931,1,124,3,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,27,1,Pre_Recruit,931,1,116,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,4,37,Normal,28,1,Juvenile,931,1,98,4,,,,,,
2019,7,1,1,Barlow Cove,4,37,Normal,29,6,Mature_Female,931,2,93,3,70,1,1,,,
2019,7,1,1,Barlow Cove,5,39,Normal,48,1,Recruit,931,1,154,3,,,,,,
2019,7,1,1,Barlow Cove,5,39,Normal,49,1,Recruit,931,1,141,3,,,,,,
2019,7,1,1,Barlow Cove,5,39,Normal,50,1,Recruit,931,1,140,3,,,,,,
2019,7,1,1,Barlow Cove,5,39,Normal,51,1,Post_Recruit,931,1,154,4,,,,None present,1,
2019,7,1,1,Barlow Cove,5,39,Normal,52,1,Post_Recruit,931,1,140,4,,,,,,
2019,7,1,1,Barlow Cove,5,39,Normal,53,1,Pre_Recruit,931,1,132,5,,,,None present,1,
2019,7,1,1,Barlow Cove,5,39,Normal,54,1,Juvenile,931,1,97,4,,,,None present,1,
2019,7,1,1,Barlow Cove,5,39,Normal,55,1,Juvenile,931,1,93,3,,,,,,
2019,7,1,1,Barlow Cove,5,39,Normal,56,10,Mature_Female,931,2,96,3,100,1,1,,,
2019,7,1,1,Barlow Cove,5,39,Normal,57,10,Mature_Female,931,2,101,5,80,1,1,None present,1,
2019,7,1,1,Barlow Cove,6,51,Normal,7,1,Pre_Recruit,931,1,135,4,,,,,,
2019,7,1,1,Barlow Cove,6,51,Normal,8,1,Pre_Recruit,931,1,135,5,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,8,1,Pre_Recruit,931,1,133,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,9,1,Recruit,931,1,147,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,10,1,Pre_Recruit,931,1,118,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,11,1,Pre_Recruit,931,1,136,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,12,1,Pre_Recruit,931,1,137,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,13,1,Recruit,931,1,148,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,14,1,Pre_Recruit,931,1,118,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,15,1,Post_Recruit,931,1,153,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,16,1,Pre_Recruit,931,1,111,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,17,1,Pre_Recruit,931,1,127,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,18,1,Pre_Recruit,931,1,134,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,19,1,Pre_Recruit,931,1,130,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,20,1,Pre_Recruit,931,1,114,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,21,1,Post_Recruit,931,1,143,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,22,1,Juvenile,931,1,99,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,23,1,Pre_Recruit,931,1,119,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,24,1,Pre_Recruit,931,1,135,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,25,1,Pre_Recruit,931,1,127,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,26,1,Pre_Recruit,931,1,127,5,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,27,1,Pre_Recruit,931,1,124,4,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,28,1,Recruit,931,1,146,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,29,1,Juvenile,931,1,100,3,,,,,,
2019,7,1,1,Barlow Cove,7,58,Normal,30,1,Pre_Recruit,931,1,130,4,,,,,,
2019,7,1,1,Barlow Cove,8,59,Normal,1,1,Post_Recruit,931,1,157,4,,,,,,
2019,7,1,1,Barlow Cove,8,59,Normal,2,1,Recruit,931,1,143,3,,,,,,
2019,7,1,1,Barlow Cove,8,59,Normal,3,1,Post_Recruit,931,1,164,4,,,,,,
2019,7,1,1,Barlow Cove,8,59,Normal,4,1,Post_Recruit,931,1,168,4,,,,,,
2019,7,1,1,Barlow Cove,8,59,Normal,5,1,Pre_Recruit,931,1,113,4,,,,,,
2019,7,1,1,Barlow Cove,9,62,Normal,1,3,Post_Recruit,931,1,146,4,,,,,,
2019,7,1,1,Barlow Cove,9,62,Normal,2,1,Pre_Recruit,931,1,115,3,,,,,,
2019,7,1,1,Barlow Cove,9,62,Normal,3,1,Pre_Recruit,931,1,123,5,,,,,,
2019,7,1,1,Barlow Cove,9,62,Normal,4,1,Pre_Recruit,931,1,121,4,,,,,,
2019,7,1,1,Barlow Cove,9,62,Normal,5,1,Post_Recruit,931,1,140,4,,,,,,
2019,7,1,1,Barlow Cove,9,62,Normal,6,1,Pre_Recruit,931,1,111,3,,,,,,
2019,7,1,1,Barlow Cove,9,62,Normal,7,1,Pre_Recruit,931,1,110,3,,,,,,
2019,7,1,1,Barlow Cove,9,62,Normal,8,1,Pre_Recruit,931,1,116,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,1,1,Recruit,931,1,157,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,2,1,Recruit,931,1,157,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,3,1,Pre_Recruit,931,1,117,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,4,1,Pre_Recruit,931,1,132,4,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,5,1,Pre_Recruit,931,1,132,4,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,6,1,Pre_Recruit,931,1,130,4,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,7,1,Juvenile,931,1,81,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,8,1,Pre_Recruit,931,1,129,4,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,9,1,Juvenile,931,1,91,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,10,1,Pre_Recruit,931,1,136,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,11,1,Pre_Recruit,931,1,112,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,12,1,Post_Recruit,931,1,138,4,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,13,1,Juvenile,931,1,108,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,14,1,Pre_Recruit,931,1,115,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,15,1,Pre_Recruit,931,1,116,4,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,16,1,Juvenile,931,1,89,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,17,1,Recruit,931,1,138,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,10,60,Normal,18,1,Pre_Recruit,931,1,137,4,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,19,1,Pre_Recruit,931,1,115,4,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,20,1,Juvenile,931,1,106,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,21,1,Juvenile,931,1,96,3,,,,,,
2019,7,1,1,Barlow Cove,10,60,Normal,22,1,Mature_Female,931,2,103,3,80,1,1,,,
2019,7,1,1,Barlow Cove,11,78,Normal,26,1,Recruit,931,1,152,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,27,1,Recruit,931,1,150,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,28,1,Post_Recruit,931,1,138,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,29,1,Post_Recruit,931,1,144,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,30,1,Recruit,931,1,158,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,31,1,Post_Recruit,931,1,150,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,32,1,Pre_Recruit,931,1,133,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,33,1,Recruit,931,1,148,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,34,1,Pre_Recruit,931,1,134,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,35,1,Pre_Recruit,931,1,134,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,36,1,Post_Recruit,931,1,153,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,37,1,Post_Recruit,931,1,173,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,38,1,Pre_Recruit,931,1,120,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,39,1,Pre_Recruit,931,1,122,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,40,1,Pre_Recruit,931,1,134,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,41,1,Recruit,931,1,159,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,42,1,Recruit,931,1,148,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,43,1,Post_Recruit,931,1,151,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,44,1,Recruit,931,1,161,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,45,1,Pre_Recruit,931,1,127,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,46,1,Post_Recruit,931,1,140,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,47,1,Post_Recruit,931,1,151,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,48,1,Post_Recruit,931,1,152,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,49,1,Recruit,931,1,166,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,50,1,Recruit,931,1,147,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,51,1,Post_Recruit,931,1,144,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,52,1,Recruit,931,1,143,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,53,1,Pre_Recruit,931,1,137,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,54,1,Recruit,931,1,143,3,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,55,1,Pre_Recruit,931,1,123,4,,,,,,
2019,7,1,1,Barlow Cove,11,78,Normal,56,1,Mature_Female,931,2,105,4,100,1,1,,,
2019,7,1,1,Barlow Cove,12,77,Normal,3,1,Post_Recruit,931,1,148,5,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,4,1,Pre_Recruit,931,1,127,4,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,5,1,Recruit,931,1,149,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,6,1,Recruit,931,1,148,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,7,1,Pre_Recruit,931,1,115,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,8,1,Recruit,931,1,148,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,12,77,Normal,9,1,Recruit,931,1,161,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,10,1,Recruit,931,1,149,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,11,1,Pre_Recruit,931,1,134,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,12,77,Normal,12,1,Pre_Recruit,931,1,118,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,12,77,Normal,13,1,Post_Recruit,931,1,138,4,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,14,1,Recruit,931,1,152,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,15,1,Recruit,931,1,150,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,16,1,Post_Recruit,931,1,146,4,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,17,1,Pre_Recruit,931,1,119,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,18,1,Pre_Recruit,931,1,123,4,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,19,1,Post_Recruit,931,1,144,4,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,20,1,Pre_Recruit,931,1,136,5,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,21,1,Pre_Recruit,931,1,135,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,22,1,Juvenile,931,1,107,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,23,1,Recruit,931,1,145,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,24,1,Pre_Recruit,931,1,126,4,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,25,1,Pre_Recruit,931,1,133,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,26,1,Pre_Recruit,931,1,125,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,27,1,Pre_Recruit,931,1,115,4,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,28,1,Pre_Recruit,931,1,131,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,29,1,Pre_Recruit,931,1,133,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,30,1,Pre_Recruit,931,1,133,4,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,31,1,Pre_Recruit,931,1,136,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,32,1,Pre_Recruit,931,1,116,3,,,,,,
2019,7,1,1,Barlow Cove,12,77,Normal,33,1,Mature_Female,931,2,99,3,60,1,1,,,
2019,7,1,1,Barlow Cove,12,77,Normal,34,1,Mature_Female,931,2,101,3,70,1,1,,,
2019,7,1,1,Barlow Cove,13,82,Normal,6,1,Post_Recruit,931,1,141,4,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,7,1,Recruit,931,1,140,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,8,1,Recruit,931,1,146,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,9,1,Recruit,931,1,143,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,10,1,Recruit,931,1,139,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,11,1,Pre_Recruit,931,1,136,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,12,1,Pre_Recruit,931,1,134,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,13,1,Recruit,931,1,154,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,14,1,Pre_Recruit,931,1,135,4,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,15,1,Pre_Recruit,931,1,133,4,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,16,1,Pre_Recruit,931,1,119,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,17,1,Post_Recruit,931,1,166,4,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,18,1,Post_Recruit,931,1,147,4,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,19,1,Recruit,931,1,146,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,20,1,Pre_Recruit,931,1,110,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,21,1,Pre_Recruit,931,1,137,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,22,1,Recruit,931,1,150,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,23,1,Recruit,931,1,144,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,24,1,Post_Recruit,931,1,147,5,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,25,1,Pre_Recruit,931,1,122,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,26,1,Pre_Recruit,931,1,116,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,27,1,Pre_Recruit,931,1,137,4,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,28,1,Recruit,931,1,141,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,29,1,Recruit,931,1,156,3,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,30,1,Post_Recruit,931,1,139,4,,,,,,
2019,7,1,1,Barlow Cove,13,82,Normal,31,1,Recruit,931,1,144,3,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,49,1,Post_Recruit,931,1,160,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,50,1,Post_Recruit,931,1,145,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,51,1,Post_Recruit,931,1,146,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,52,1,Pre_Recruit,931,1,135,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,53,1,Pre_Recruit,931,1,126,3,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,54,1,Post_Recruit,931,1,142,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,55,1,Pre_Recruit,931,1,135,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,56,1,Recruit,931,1,144,3,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,57,1,Post_Recruit,931,1,152,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,58,1,Pre_Recruit,931,1,137,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,59,1,Pre_Recruit,931,1,132,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,60,1,Post_Recruit,931,1,142,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,61,1,Pre_Recruit,931,1,127,3,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,62,1,Pre_Recruit,931,1,121,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,63,1,Pre_Recruit,931,1,125,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,64,1,Post_Recruit,931,1,146,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,65,1,Pre_Recruit,931,1,135,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,66,1,Recruit,931,1,140,3,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,67,1,Pre_Recruit,931,1,122,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,14,92,Normal,68,1,Pre_Recruit,931,1,132,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,69,1,Pre_Recruit,931,1,133,3,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,70,1,Pre_Recruit,931,1,136,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,71,1,Pre_Recruit,931,1,124,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,72,1,Pre_Recruit,931,1,122,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,73,1,Recruit,931,1,149,3,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,74,1,Pre_Recruit,931,1,119,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,75,1,Pre_Recruit,931,1,136,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,76,1,Pre_Recruit,931,1,116,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,77,1,Pre_Recruit,931,1,111,4,,,,,,
2019,7,1,1,Barlow Cove,14,92,Normal,78,14,Mature_Female,931,2,100,3,80,1,1,,,
2019,7,1,1,Barlow Cove,15,85,Normal,2,1,Juvenile,931,1,95,3,,,,,,
2019,7,1,1,Barlow Cove,15,85,Normal,3,1,Mature_Female,931,2,80,3,0,4,,,,
2019,7,1,1,Barlow Cove,16,43,Normal,,0,,931,,,,,,,,,extra shot
2019,7,1,1,Barlow Cove,17,44,Normal,,0,,931,,,,,,,,,
2019,7,1,1,Barlow Cove,18,97,Normal,,0,,931,,,,,,,,,
2019,7,1,1,Barlow Cove,19,102,Normal,7,1,Recruit,931,1,152,3,,,,Bitter crab,6,
2019,7,1,1,Barlow Cove,19,102,Normal,8,1,Pre_Recruit,931,1,131,3,,,,,,
2019,7,1,1,Barlow Cove,19,102,Normal,9,1,Recruit,931,1,148,3,,,,,,
2019,7,1,1,Barlow Cove,19,102,Normal,10,1,Pre_Recruit,931,1,120,4,,,,,,
2019,7,1,1,Barlow Cove,20,97,Normal,1,2,Juvenile,931,1,100,3,,,,,,long shot
2019,7,1,1,Barlow Cove,20,97,Normal,2,1,Juvenile,931,1,86,3,,,,,,long shot
2019,7,1,1,Barlow Cove,20,97,Normal,3,1,Pre_Recruit,931,1,118,4,,,,,,long shot
2019,7,1,1,Barlow Cove,20,97,Normal,4,1,Juvenile,931,1,96,3,,,,,,long shot
2019,7,1,1,Barlow Cove,20,97,Normal,5,1,Juvenile,931,1,87,3,,,,,,long shot
2019,7,1,1,Barlow Cove,20,97,Normal,6,1,Mature_Female,931,2,114,4,100,1,1,,,long shot
2019,7,1,1,Barlow Cove,20,97,Normal,7,1,Mature_Female,931,2,84,3,0,4,,,,long shot
2019,7,1,1,Barlow Cove,20,97,Normal,8,1,Mature_Female,931,2,86,5,60,1,1,,,long shot
2019,7,1,1,Barlow Cove,21,90,Normal,,0,,931,,,,,,,,,
2019,7,1,1,Barlow Cove,22,107,Normal,18,1,Pre_Recruit,931,1,121,3,,,,,,
2019,7,1,1,Barlow Cove,22,107,Normal,19,1,Post_Recruit,931,1,160,5,,,,,,
2019,7,1,1,Barlow Cove,22,107,Normal,20,1,Juvenile,931,1,109,3,,,,,,
2019,7,1,1,Barlow Cove,22,107,Normal,21,1,Pre_Recruit,931,1,113,3,,,,,,
2019,7,1,1,Barlow Cove,22,107,Normal,22,1,Pre_Recruit,931,1,125,3,,,,,,
2019,7,1,1,Barlow Cove,22,107,Normal,23,1,Mature_Female,931,2,110,3,90,1,1,,,
2019,7,1,1,Barlow Cove,23,106,Normal,8,1,Juvenile,931,1,99,3,,,,,,
2019,7,1,1,Barlow Cove,23,106,Normal,9,1,Mature_Female,931,2,88,3,50,1,1,Bitter crab,6,
